# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
1.365402745587555692e+06	2.714213115326210013e-01	3.792747493581009656e+07	5.503061636712602429e+23	1.119824178876795706e+01	1.888532603839047086e+00	9.471360898831991948e-01	9.982779659458187460e-01
1.366139208772877930e+06	2.717503770866662727e-01	3.790069272088473290e+07	5.497658745485668353e+23	1.119036132516091797e+01	1.887199301214778302e+00	9.468372415794350516e-01	9.982782836942648563e-01
1.366875671958200168e+06	2.720795649541842276e-01	3.787391847200257331e+07	5.492258951527926900e+23	1.118248318642290329e+01	1.885866394973576776e+00	9.465382710053591442e-01	9.982786014918031414e-01
1.367612135143522406e+06	2.724088748941829730e-01	3.784715220316433161e+07	5.486862256973359413e+23	1.117460737667689052e+01	1.884533885812451404e+00	9.462391782074387470e-01	9.982789193382864967e-01
1.368348598328844644e+06	2.727383066656111077e-01	3.782039392834366113e+07	5.481468663947460650e+23	1.116673390003818511e+01	1.883201774427105013e+00	9.459399632321344731e-01	9.982792372335674846e-01
1.369085061514166882e+06	2.730678600273582779e-01	3.779364366148718446e+07	5.476078174567249520e+23	1.115886276061407401e+01	1.881870061511882852e+00	9.456406261258877288e-01	9.982795551774987786e-01
1.369821524699489120e+06	2.733975347382557319e-01	3.776690141651596874e+07	5.470690790941277133e+23	1.115099396250433905e+01	1.880538747759846308e+00	9.453411669351384772e-01	9.982798731699330519e-01
1.370557987884811359e+06	2.737273305570768200e-01	3.774016720732388645e+07	5.465306515169634859e+23	1.114312750980083599e+01	1.879207833862722499e+00	9.450415857063110270e-01	9.982801912107229780e-01
1.371294451070133597e+06	2.740572472425375494e-01	3.771344104777871072e+07	5.459925349343960362e+23	1.113526340658778757e+01	1.877877320510924486e+00	9.447418824858235809e-01	9.982805092997211194e-01
1.372030914255455835e+06	2.743872845532970284e-01	3.768672295172148198e+07	5.454547295547446998e+23	1.112740165694156680e+01	1.876547208393540611e+00	9.444420573200807967e-01	9.982808274367800383e-01
1.372767377440778073e+06	2.747174422479581324e-01	3.766001293296708167e+07	5.449172355854852539e+23	1.111954226493090481e+01	1.875217498198360921e+00	9.441421102554813372e-01	9.982811456217524082e-01
1.373503840626100311e+06	2.750477200850680037e-01	3.763331100530331582e+07	5.443800532332503871e+23	1.111168523461661728e+01	1.873888190611823878e+00	9.438420413384066565e-01	9.982814638544905694e-01
1.374240303811422549e+06	2.753781178231184956e-01	3.760661718249200284e+07	5.438431827038309743e+23	1.110383057005189222e+01	1.872559286319079197e+00	9.435418506152331020e-01	9.982817821348471954e-01
1.374976766996744787e+06	2.757086352205467827e-01	3.757993147826860845e+07	5.433066242021764125e+23	1.109597827528219405e+01	1.871230786003952762e+00	9.432415381323268067e-01	9.982821004626746264e-01
1.375713230182067025e+06	2.760392720357359164e-01	3.755325390634165704e+07	5.427703779323957614e+23	1.108812835434512145e+01	1.869902690348941299e+00	9.429411039360394708e-01	9.982824188378254249e-01
1.376449693367389264e+06	2.763700280270152687e-01	3.752658448039364070e+07	5.422344440977582803e+23	1.108028081127064191e+01	1.868575000035246569e+00	9.426405480727162445e-01	9.982827372601520421e-01
